stop_name,stop_lat,stop_lon
Transfer Station,46.732066,-117.181877
"State and Harrison, North bound",46.736386,-117.17826
"Harrison and Fisk, West bound",46.736569,-117.184251
"Clifford and Harrison, North bound",46.736778,-117.185612
"Clifford and Darrow, North bound",46.739561,-117.185603
"Darrow and Orion, East bound",46.739773,-117.183234
"Jefferson Elementary, South bound",46.739252,-117.18143
"State and Timothy, North bound",46.740483,-117.178262
Janet and Hall,46.742298,-117.177481
"Hall and Orion, North bound",46.743912,-117.179125
Aquatic Center on Hall,46.744881,-117.180358
Larry and Lamont,46.746938,-117.176654
"Dillon and Terre View, East bound",46.750406,-117.174009
Clay Court,46.751767,-117.175624
Palouse Trace Apartments,46.748649,-117.169761
Pimlico on Terre View,46.743498,-117.163658
Merman and Valley,46.740671,-117.159303
Schweitzer Drive,46.746222,-117.168289
Terre View Bridge,46.750044,-117.170224
Grand and Terre View,46.750059,-117.171959
Grand and Larry,46.747851,-117.172644
Grand and Turner,46.742192,-117.171293
Taco Bell,46.738948,-117.170747
Harvey/Duncan,46.736405,-117.163101
Streit Perham,46.735681,-117.159996
Martin Stadium,46.731277,-117.159058
Troy Lane,46.728639,-117.162092
Spokane and Washington,46.72768,-117.168547
Spokane and College,46.729056,-117.168644
Honors Hall,46.731529,-117.168395
The Chinook,46.732507,-117.165812
"Maiden and Spaulding, South bound",46.731814,-117.175833
Neill Library,46.730423,-117.180172
Porch Light Pizza,46.730404,-117.179459
Whitman and Maple,46.731303,-117.17727
"Maiden and Spaulding, North bound",46.732039,-117.175077
Campus and Opal,46.733524,-117.172504
The Gyms,46.73348,-117.162143
Pine Street Mall,46.729682,-117.179009
Golden Hills,46.733202,-117.208703
Skyline Estates,46.733667,-117.205119
Cory Lane,46.733668,-117.200672
Parkwest,46.733678,-117.196162
Big Sky Court,46.727421,-117.201063
Whispering Hills,46.724535,-117.207815
Wawawai and Marcia,46.728045,-117.198297
Sunnyside Park,46.729677,-117.19454
Bishop and Latah,46.722518,-117.16501
"Bishop and Bleasner, South bound",46.720004,-117.164115
"Pro Mall, South bound",46.717765,-117.164883
Crimson and Gray Bookstore,46.715143,-117.165188
Bishop and Footloose,46.713339,-117.168174
Zeppoz,46.713759,-117.171854
"Bishop and Harvest, West bound",46.714301,-117.174935
Safeway,46.71498,-117.178598
Grocery Outlet,46.717095,-117.182829
"Crestview and Grand, west bound",46.720732,-117.185522
Fountain and Cityview,46.720976,-117.189753
Fountain and Mountain View,46.722651,-117.189249
"Fountain and Center, north bound",46.72455,-117.189931
"Sunnyside Elementary, east bound",46.727783,-117.188192
"Arbor and Main, north bound",46.730065,-117.186224
"Main and Cedar, west bound",46.730797,-117.191161
Transfer Station North,46.732085,-117.181841
"State and True, North bound",46.738481,-117.178272
Dissmores,46.739765,-117.173107
Grand and Center,46.725592,-117.185871
Terrace Estates,46.719091,-117.183869
Dairy Queen,46.716438,-117.182772
Wheatland Mall,46.713158,-117.181794
Community Action Center,46.712131,-117.180627
WalMart,46.712487,-117.177148
"Bishop and Harvest, East bound",46.714193,-117.175189
Pullman Hospital,46.713357,-117.169826
Summit Therapy,46.713285,-117.165831
Village Centre Cinemas,46.714734,-117.1648
"Pro Mall, North bound",46.717901,-117.164654
"Bishop and Bleasner, North bound",46.720109,-117.163936
Main and Stadium Way,46.725959,-117.167025
Spring and Derby,46.722961,-117.178373
Dilke and Ridgeview,46.724773,-117.17468
South and Side,46.726109,-117.175932
South and High,46.726362,-117.181689
Rocky Way and Grand,46.724657,-117.185311
Jin's Mart,46.726277,-117.185016
Northwood Manor,46.743443,-117.149067
"Aspen Village, North bound",46.744416,-117.147693
"Maple Valley, North bound",46.746492,-117.145297
"Birch Hills, West bound",46.748377,-117.147749
"Cougar Crest, South bound",46.746095,-117.151673
College Crest,46.74427,-117.151885
Cougs Corner Mart,46.74345,-117.15461
Valley and Merman,46.740245,-117.159142
"Valley and Orchard, East bound",46.739845,-117.156361
"Rec. Center on Orchard, South bound",46.736573,-117.157015
Concordia Lutheran,46.735981,-117.158638
Bustad Hall,46.729438,-117.160031
Vogel Biosciences,46.731551,-117.158789
Outdoor Rec. Center,46.737821,-117.150861
"Cougar Crest, North bound",46.746536,-117.151527
Pine Ridge Upper,46.747698,-117.150857
North Maple Valley,46.748305,-117.147953
"East Maple Valley, south bound",46.746291,-117.145409
"Aspen Village, south bound",46.74425,-117.148155
Cougar Ridge,46.742378,-117.152151
Terre View and Merman,46.742988,-117.154944
Emerald Downs,46.739898,-117.163958
Providence Court,46.738532,-117.167658
"North Beasley, East bound",46.735637,-117.159184
"Rec. Center on Orchard, East bound",46.736694,-117.156641
"Valley and Orchard, West bound",46.739929,-117.156416
Pullman High School,46.748334,-117.186129
"Hall and Orion, South bound",46.743818,-117.179215
"State and Timothy, South bound",46.741044,-117.179014
"State and True, South bound",46.738926,-117.178385
"Jefferson Elementary, north bound",46.739459,-117.181147
"Darrow and Orion, west bound",46.739863,-117.183732
"Clifford and Darrow, south bound",46.739581,-117.185741
"Clifford and Harrison, south bound",46.736771,-117.185745
"Harrison and Fisk, east bound",46.73648,-117.184263
"Harrison and Bryant, east bound",46.736461,-117.181545
"State and Harrison, south bound",46.73623,-117.178401
Forest Way and Chinook Drive,46.723509,-117.163268
Forest Way and North Chinook Drive,46.725084,-117.160581
Olympia and Grimes,46.729719,-117.152638
Stadium and Lybecker,46.73664,-117.163424
McDonalds North,46.739285,-117.171128
Larry and Friel,46.747178,-117.174202
Lincoln Middle School 2,46.717835,-117.177109
Derby and Robin,46.723296,-117.170902
Professional Mall Blvd.,46.721304,-117.167035
Grand and Crestview,46.720172,-117.184106
"Larry and Friel, west bound",46.747355,-117.173772
Aquatic Center on Larry,46.745223,-117.180419
"Grimes and Olympia, East bound",46.729629,-117.152747
"North Forest Way, South bound",46.725305,-117.160409
"South Forest Way, South bound",46.723113,-117.163404
Derby and Dilke,46.723401,-117.174556
Main and Cedar,46.730686,-117.191128
Arbor and Main,46.729995,-117.186338
Sunnyside Elementary,46.727861,-117.188189
Fountain and Center,46.724887,-117.190176
Cityview and James,46.72309,-117.190665
Fountain and Crestview,46.720892,-117.190283
Crestview and Grand,46.720527,-117.185878
Pullman Family Medicine,46.738769,-117.166548
Koppel Farm,46.722472,-117.167635
Lincoln Middle School 4,46.717919,-117.177126
Jack in the Box,46.740074,-117.172417
Lincoln Middle School 5,46.717668,-117.177369
Lincoln Middle School 1,46.717881,-117.17763
WSU Research Park,46.743823,-117.162738
Palouse Medical,46.712748,-117.171809
Lincoln Middle School 6,46.717711,-117.177165
Crestview and Spring,46.719561,-117.177731
Whispering Hills Turnaround,46.723079,-117.207305
Paradise Street,46.728817,-117.179507
Stephenson Hall,46.726889,-117.165794
"Dillon and Terre View, West bound",46.750371,-117.174442
Lamont and Larry,46.747365,-117.176656
Welcome Center,46.731582,-117.187579
WSU Visitors Center,46.72966,-117.174143
Valley Playfields,46.74018,-117.158503
Adams Mall,46.734025,-117.17098
Summer Hill,46.743817,-117.153473
Valley and Brandi Way,46.740114,-117.16222
Lincoln Middle School 3,46.717725,-117.177544
"Harrison and Bryant, West bound",46.736571,-117.181092
Bryant and Windus,46.736949,-117.181283
The Ruckus,46.743944,-117.15603
"Boulder Creek, West bound",46.744147,-117.157968
"Pimlico, South bound",46.742657,-117.164421
Churchill Downs,46.741246,-117.164862
Boulder Creek,46.744022,-117.157549
Northside Commons,46.733448,-117.162651
Pullman City Hall,46.71935,-117.181919
Grocery Outlet,46.717095,-117.182829
Beasley South,46.734127,-117.158512
Mooberry Track,46.733848,-117.158988
The Retreat,46.748003,-117.151092
Campus and Ruby,46.733325,-117.17176
Pullman Church of Christ,46.73739,-117.166097
"Pine Street Mall, North bound",46.729683,-117.179098
WSU Visitor Center,46.729642,-117.174015
